市場・商品区分,銘柄コード,銘柄名,現在のステージ,最新終値,最新出来高
プライム（内国株式）,2613.T,Ｊ－オイルミルズ,1,2084.0,69700
スタンダード（内国株式）,261A.T,日水コン,1,3195.0,201900
ETF・ETN,2620.T,ｉシェアーズ　米国債１－３年　ＥＴＦ,1,344.5,90920
ETF・ETN,2621.T,ｉシェアーズ　米国債２０年超　ＥＴＦ（為替ヘッジあり）,1,1112.0,1671272
ETF・ETN,2622.T,ｉシェアーズ　米ドル建て新興国債券　ＥＴＦ（為替ヘッジあり）,1,1764.0,2771
ETF・ETN,2623.T,ｉシェアーズ　ユーロ建て投資適格社債　ＥＴＦ（為替ヘッジあり）,1,2055.0,73
ETF・ETN,2624.T,ｉＦｒｅｅＥＴＦ　日経２２５（年４回決算型）,1,4532.0,23035
ETF・ETN,2625.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年４回決算型）,1,3152.0,33744
ETF・ETN,2626.T,グローバルＸ　デジタル・イノベーション－日本株式　ＥＴＦ,1,3072.0,492
ETF・ETN,2627.T,グローバルＸ　ｅコマース－日本株式　ＥＴＦ,1,1550.0,226
ETF・ETN,2628.T,ｉＦｒｅｅＥＴＦ　中国科創板５０（ＳＴＡＲ５０）,1,2775.0,16786
ETF・ETN,2629.T,ｉＦｒｅｅＥＴＦ　中国グレーターベイエリア・イノベーション１００（ＧＢＡ１００）,1,3505.0,10016
プライム（内国株式）,262A.T,インターメスティック,1,2883.0,273800
ETF・ETN,2630.T,ＭＡＸＩＳ米国株式（Ｓ＆Ｐ５００）上場投信（為替ヘッジあり）,1,14325.0,4722
ETF・ETN,2631.T,ＭＡＸＩＳナスダック１００上場投信,1,25860.0,10003
ETF・ETN,2632.T,ＭＡＸＩＳナスダック１００上場投信（為替ヘッジあり）,1,15145.0,8249
ETF・ETN,2633.T,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　指数（為替ヘッジなし）連動型上場投信,1,450.8999938964844,139550
ETF・ETN,2634.T,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　指数（為替ヘッジあり）連動型上場投信,1,2822.0,11120
ETF・ETN,2635.T,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００スコアリング＆スクリーニング指数連動型上場投信,1,4563.0,610
ETF・ETN,2636.T,グローバルＸ　ＭＳＣＩ　ガバナンス・クオリティ－日本株式　ＥＴＦ,1,3668.0,10165
ETF・ETN,2637.T,グローバルＸ　クリーンテック－日本株式　ＥＴＦ,1,1661.0,1934
ETF・ETN,2638.T,グローバルＸ　ロボティクス＆ＡＩ－日本株式　ＥＴＦ,1,2350.0,18141
ETF・ETN,2639.T,グローバルＸ　バイオ＆メドテック－日本株式　ＥＴＦ,1,1626.0,1830
ETF・ETN,2640.T,グローバルＸ　ゲーム＆アニメ－日本株式　ＥＴＦ,1,4635.0,89147
ETF・ETN,2641.T,グローバルＸ　グローバルリーダーズ－日本株式　ＥＴＦ,1,3630.0,24078
ETF・ETN,2642.T,ＳＭＴ　ＥＴＦカーボン・エフィシェント日本株,1,41490.0,12
ETF・ETN,2643.T,ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩジャパンカントリー指数（セレクト）連動型上場投信,1,3272.0,500
ETF・ETN,2644.T,グローバルＸ　半導体関連－日本株式　ＥＴＦ,1,2180.0,2979799
ETF・ETN,2645.T,グローバルＸ　レジャー＆エンターテインメント－日本株式　ＥＴＦ,1,2839.0,636
ETF・ETN,2646.T,グローバルＸ　メタルビジネス－日本株式　ＥＴＦ,1,2096.0,136
ETF・ETN,2647.T,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国国債（７－１０年）インデックス（為替ヘッジなし）連動型上場投信,1,5630.0,210
ETF・ETN,2648.T,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信,1,3570.0,870
ETF・ETN,2649.T,ｉシェアーズ　米国政府系機関ジニーメイＭＢＳ　ＥＴＦ（為替ヘッジあり）,1,610.2999877929688,2160
グロース（内国株式）,264A.T,Ｓｃｈｏｏ,1,781.0,206300
スタンダード（内国株式）,2652.T,まんだらけ,4,317.0,127700
スタンダード（内国株式）,2653.T,イオン九州,4,2909.0,9600
スタンダード（内国株式）,2654.T,アスモ,1,408.0,8800
スタンダード（内国株式）,2656.T,ベクターホールディングス,3,130.0,295000
プライム（内国株式）,2659.T,サンエー,4,2805.0,225500
グロース（内国株式）,265A.T,Ｈｍｃｏｍｍ,1,1357.0,138800
プライム（内国株式）,2664.T,カワチ薬品,1,2884.0,54100
スタンダード（内国株式）,2666.T,オートウェーブ,1,164.0,99600
スタンダード（内国株式）,2667.T,イメージ　ワン,4,224.0,601900
スタンダード（内国株式）,2668.T,タビオ,2,1202.0,1800
スタンダード（内国株式）,2669.T,カネ美食品,3,3280.0,2600
プライム（内国株式）,2670.T,エービーシー・マート,1,3020.0,470300
スタンダード（内国株式）,2673.T,夢みつけ隊,1,227.0,636600
プライム（内国株式）,2674.T,ハードオフコーポレーション,1,1833.0,35500
プライム（内国株式）,2676.T,高千穂交易,5,1985.0,53000
プライム（内国株式）,2678.T,アスクル,1,1605.0,484400
PRO Market,267A.T,トワライズ,1,1990.0,0
プライム（内国株式）,2681.T,ゲオホールディングス,1,1671.0,182900
スタンダード（内国株式）,2683.T,魚喜,4,1005.0,4000
プライム（内国株式）,2685.T,アダストリア,1,3065.0,158700
スタンダード（内国株式）,2686.T,ジーフット,4,283.0,12500
スタンダード（内国株式）,2687.T,シー・ヴイ・エス・ベイエリア,2,600.0,9800
スタンダード（内国株式）,2689.T,オルバヘルスケアホールディングス,4,2024.0,1100
プライム（内国株式）,268A.T,リガク・ホールディングス,1,945.0,2199700
プライム（内国株式）,2692.T,伊藤忠食品,1,10670.0,17900
スタンダード（内国株式）,2693.T,ＹＫＴ,1,251.0,32700
スタンダード（内国株式）,2694.T,焼肉坂井ホールディングス,2,74.0,210100
プライム（内国株式）,2695.T,くら寿司,4,3510.0,687300
スタンダード（内国株式）,2698.T,キャンドゥ,4,3630.0,18400
グロース（内国株式）,269A.T,Ｓａｐｅｅｔ,4,2706.0,4400
スタンダード（内国株式）,2700.T,木徳神糧,1,5290.0,211100
スタンダード（内国株式）,2702.T,日本マクドナルドホールディングス,2,6350.0,288800
スタンダード（内国株式）,2705.T,大戸屋ホールディングス,1,5810.0,27900
スタンダード（内国株式）,2708.T,久世,1,1916.0,13100
スタンダード（内国株式）,2721.T,ジェイホールディングス,4,184.0,244100
