市場・商品区分,銘柄コード,銘柄名,現在のステージ,最新終値,最新出来高
グロース（内国株式）,9237.T,笑美面,1,2594.0,12200
グロース（内国株式）,9238.T,バリュークリエーション,3,1573.0,29400
グロース（内国株式）,9240.T,デリバリーコンサルティング,1,521.0,10500
グロース（内国株式）,9241.T,フューチャーリンクネットワーク,1,3000.0,81700
グロース（内国株式）,9242.T,メディア総研,5,1359.0,1300
グロース（内国株式）,9244.T,デジタリフト,1,1162.0,13800
グロース（内国株式）,9245.T,リベロ,1,1766.0,1200
グロース（内国株式）,9246.T,プロジェクトホールディングス,6,1275.0,1900
プライム（内国株式）,9247.T,ＴＲＥホールディングス,1,1396.0,427000
プライム（内国株式）,9248.T,人・夢・技術グループ,1,1829.0,18500
スタンダード（内国株式）,9249.T,日本エコシステム,6,1548.0,4100
グロース（内国株式）,9250.T,ＧＲＣＳ,4,1315.0,2500
グロース（内国株式）,9251.T,ＡＢ＆Ｃｏｍｐａｎｙ,1,972.0,15200
グロース（内国株式）,9252.T,ラストワンマイル,5,3290.0,18200
グロース（内国株式）,9253.T,スローガン,1,760.0,2700
グロース（内国株式）,9254.T,ラバブルマーケティンググループ,1,1445.0,1500
グロース（内国株式）,9256.T,サクシード,5,805.0,900
グロース（外国株式）,9257.T,ＹＣＰホールディングス（グローバル）リミテッド　ＪＤＲ,1,700.0,23100
グロース（内国株式）,9258.T,ＣＳ－Ｃ,1,431.0,13600
グロース（内国株式）,9259.T,タカヨシホールディングス,2,703.0,1700
スタンダード（内国株式）,9262.T,シルバーライフ,6,750.0,18900
スタンダード（内国株式）,9264.T,ポエック,1,1824.0,38500
スタンダード（内国株式）,9265.T,ヤマシタヘルスケアホールディングス,1,3145.0,700
プライム（内国株式）,9267.T,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,1,4605.0,118800
スタンダード（内国株式）,9268.T,オプティマスグループ,1,377.0,88100
グロース（内国株式）,9270.T,バリュエンスホールディングス,4,847.0,18500
グロース（内国株式）,9271.T,和心,1,478.0,6500
グロース（内国株式）,9272.T,ブティックス,1,1380.0,12200
プライム（内国株式）,9273.T,コーア商事ホールディングス,1,729.0,36100
プライム（内国株式）,9274.T,ＫＰＰグループホールディングス,1,798.0,147500
スタンダード（内国株式）,9275.T,ナルミヤ・インターナショナル,1,1588.0,27000
プライム（内国株式）,9278.T,ブックオフグループホールディングス,1,1469.0,56300
プライム（内国株式）,9279.T,ギフトホールディングス,4,3360.0,113900
REIT・ベンチャーファンド・カントリーファンド・インフラファンド,9282.T,いちごグリーンインフラ投資法人,4,45800.0,142
REIT・ベンチャーファンド・カントリーファンド・インフラファンド,9284.T,カナディアン・ソーラー・インフラ投資法人,1,83100.0,502
REIT・ベンチャーファンド・カントリーファンド・インフラファンド,9285.T,東京インフラ・エネルギー投資法人,1,47500.0,252
REIT・ベンチャーファンド・カントリーファンド・インフラファンド,9286.T,エネクス・インフラ投資法人,1,49350.0,563
REIT・ベンチャーファンド・カントリーファンド・インフラファンド,9287.T,ジャパン・インフラファンド投資法人,1,47050.0,225
プライム（内国株式）,9301.T,三菱倉庫,1,1192.5,819700
プライム（内国株式）,9302.T,三井倉庫ホールディングス,6,3850.0,777000
プライム（内国株式）,9303.T,住友倉庫,1,3060.0,346300
プライム（内国株式）,9304.T,澁澤倉庫,1,4395.0,14000
プライム（内国株式）,9305.T,ヤマタネ,1,2768.0,150400
スタンダード（内国株式）,9306.T,東陽倉庫,1,1663.0,3700
スタンダード（内国株式）,9307.T,杉村倉庫,1,836.0,45900
スタンダード（内国株式）,9308.T,乾汽船,1,1284.0,114400
プライム（内国株式）,9310.T,日本トランスシティ,1,1123.0,75400
スタンダード（内国株式）,9311.T,アサガミ,1,6090.0,100
スタンダード（内国株式）,9312.T,ケイヒン,1,2745.0,4300
スタンダード（内国株式）,9313.T,丸八倉庫,1,849.0,100
